,time,distance,strength
196,71,6,113
197,29,5,80
198,100,3,115
199,8,0,103
200,26,4,105
201,11,5,94
202,18,6,55
203,49,3,95
204,15,3,76
205,30,6,56
206,44,4,103
207,65,5,66
208,74,3,82
209,47,5,65
210,67,5,74
211,11,4,62
212,17,5,82
213,51,6,98
214,62,6,57
215,74,6,94
216,7,4,113
217,58,2,119
218,19,1,71
219,97,3,87
220,33,6,118
221,44,5,79
222,42,0,54
223,34,0,108
224,46,3,89
225,85,0,115
226,68,6,81
227,98,4,112
228,45,5,78
229,98,5,50
230,99,5,60
231,81,5,89
232,91,3,55
233,43,6,71
234,29,1,63
235,51,2,108
236,20,5,74
237,88,5,73
238,1,2,58
239,65,4,60
240,60,4,53
241,81,2,61
242,13,0,113
243,3,1,89
244,9,3,92
245,82,5,51
246,88,6,53
247,0,3,57
248,71,6,72
249,13,5,113
250,98,1,94
251,79,2,78
252,16,3,118
253,5,2,102
254,11,1,72
255,83,1,59
256,34,6,88
257,99,3,88
258,15,3,116
259,91,0,58
260,56,5,109
261,74,4,74
262,23,5,80
263,0,4,109
264,56,4,62
265,11,0,89
266,3,4,93
267,83,6,89
268,25,2,74
269,23,6,79
270,41,5,73
271,8,5,52
272,72,2,74
273,63,3,83
274,58,6,100
275,25,0,119
276,9,1,60
277,70,1,60
278,99,2,94
279,35,2,113
280,43,1,74
281,92,3,55
282,64,4,105
283,51,1,96
284,30,1,71
285,70,5,60
286,74,6,99
287,19,2,74
288,44,1,81
289,11,1,61
290,36,1,118
291,97,1,60
292,49,0,116
293,37,1,86
294,81,6,51
295,48,5,54
296,39,2,65
297,15,2,83
298,87,2,53
299,69,0,93
300,97,5,94
301,97,1,65
302,39,2,74
303,48,4,112
304,16,1,83
305,49,0,96
306,55,6,92
307,38,6,101
308,20,2,115
309,57,1,105
310,14,4,81
311,36,2,61
312,76,4,63
313,89,4,64
314,81,1,66
315,61,0,109
316,70,4,60
317,40,1,75
318,65,0,120
319,25,0,67
320,33,6,94
321,33,6,101
322,10,3,83
323,39,6,117
324,4,3,93
325,24,5,73
326,24,0,96
327,74,3,104
328,71,2,67
329,43,6,108
330,25,0,59
331,13,1,69
332,41,4,113
333,85,1,57
334,13,6,94
335,6,3,79
336,3,6,89
337,18,4,89
338,82,0,113
339,18,6,95
340,5,4,95
341,88,6,105
342,93,0,106
343,83,6,58
344,4,3,61
345,24,3,77
346,47,1,57
347,58,6,53
348,27,5,120
349,91,6,53
350,70,4,82
351,13,2,84
352,36,1,88
353,16,1,77
354,6,4,120
355,100,0,90
356,57,2,65
357,90,0,92
358,0,1,108
359,3,1,103
360,41,2,111
361,83,6,73
362,79,3,99
363,89,5,98
364,21,4,90
365,45,6,64
366,73,3,111
367,95,2,61
368,84,2,72
369,79,5,88
370,22,6,52
371,28,0,103
372,100,3,71
373,93,5,51
374,9,0,94
375,14,1,105
376,42,1,104
377,0,5,68
378,24,1,68
379,55,4,105
380,47,5,79
381,46,5,103
382,60,4,88
383,81,2,83
384,53,5,112
385,99,0,116
386,88,2,93
387,78,2,51
388,43,6,56
389,73,0,64
390,88,6,106
391,27,3,89
392,34,2,111
393,92,4,53
394,65,2,113
395,29,1,102
396,69,6,56
397,5,6,78
398,3,0,60
399,11,6,99
400,65,4,64
401,14,4,85
402,45,5,58
403,78,2,62
404,44,6,56
405,26,3,62
406,86,4,88
407,4,3,107
408,32,6,78
409,31,1,99
410,37,1,116
411,16,2,108
412,99,6,113
413,17,4,106
414,20,2,78
415,42,4,57
416,87,5,58
417,17,5,115
418,97,3,61
419,68,6,107
420,72,1,69
421,74,2,72
422,20,5,88
423,61,0,86
424,88,0,73
425,79,3,87
426,75,3,118
427,17,5,118
428,17,2,98
429,2,1,103
430,81,4,59
431,43,2,50
432,85,2,72
433,63,5,52
434,31,0,110
435,90,0,103
436,48,1,108
437,12,2,88
438,53,6,80
439,57,2,77
440,87,4,115
441,50,6,103
442,43,0,119
443,33,1,102
444,58,5,101
445,90,3,76
446,42,0,61
447,74,0,92
448,82,2,107
449,78,0,118
450,84,3,104
451,9,6,84
452,91,5,73
453,15,6,65
454,99,6,66
455,28,2,115
456,88,0,118
457,38,1,103
458,65,4,106
459,13,4,57
460,75,4,113
461,13,2,59
462,20,1,78
463,85,1,96
464,24,2,110
465,96,6,84
466,100,2,50
467,40,6,112
468,89,2,79
469,7,3,94
470,51,3,71
471,28,2,111
472,46,3,65
473,86,0,69
474,60,3,105
475,95,6,54
476,68,3,107
477,18,2,103
478,21,1,73
479,63,2,51
480,65,3,103
481,91,2,96
482,74,4,107
483,70,4,114
484,85,2,78
485,36,1,101
486,6,3,52
487,1,3,117
488,58,4,58
489,49,3,63
490,71,4,83
491,67,3,84
492,8,2,94
493,80,3,56
494,75,1,61
495,0,0,73
496,6,2,98
497,15,3,76
498,12,1,117
499,95,2,68
500,94,4,78
501,61,1,70
502,45,2,72
503,15,0,115
504,3,3,71
505,96,5,108
506,53,4,96
507,79,3,80
508,43,0,101
509,96,6,56
510,24,1,59
511,5,3,61
512,51,3,117
513,78,3,67
514,4,5,55
515,2,3,94
516,76,1,51
517,60,0,61
518,19,6,86
519,64,4,81
520,51,3,60
521,7,1,58
522,15,1,116
523,97,1,112
524,56,3,119
525,94,4,57
526,83,1,95
527,37,3,79
528,3,0,119
529,54,0,63
530,39,4,91
531,30,3,117
532,20,2,97
533,29,2,110
534,54,2,102
535,46,5,103
536,48,6,104
537,2,4,56
538,59,4,111
539,98,3,116
540,74,3,68
541,47,6,61
542,34,5,70
543,27,3,114
544,95,1,78
545,86,5,60
546,98,1,95
547,74,6,50
548,83,2,89
549,18,2,75
550,4,4,84
551,64,2,91
552,52,5,98
553,81,4,97
554,90,1,110
555,37,1,107
556,11,5,119
557,34,2,56
558,61,1,81
559,12,5,54
560,91,5,94
561,34,6,62
562,5,0,119
563,72,2,88
564,97,6,90
565,65,3,120
566,51,0,82
567,58,0,110
568,89,6,58
569,4,1,54
570,2,6,99
571,54,3,103
572,40,2,66
573,42,0,86
574,51,6,78
575,54,0,81
576,22,3,76
577,52,1,108
578,56,4,72
579,11,2,57
580,33,5,95
581,80,1,97
582,76,3,120
583,51,3,108
584,28,3,120
585,99,0,118
586,82,0,57
587,97,4,93
588,49,2,68
589,87,0,86
590,19,6,87
591,65,4,119
592,12,4,95
593,11,2,91
594,39,3,84
595,100,6,62
596,53,0,64
597,93,2,53
598,21,3,64
599,78,6,56
600,77,1,97
601,61,4,89
602,27,4,54
603,36,3,110
604,65,4,61
605,14,0,84
606,95,4,101
607,6,3,102
608,35,1,104
609,72,1,111
610,62,2,104
611,44,1,113
612,88,4,53
613,28,5,95
614,29,0,52
615,72,1,117
616,63,6,113
617,11,2,54
618,77,5,71
619,21,5,98
620,96,3,117
621,38,1,74
622,99,6,114
623,43,1,95
624,36,6,100
625,55,0,71
626,10,5,50
627,56,4,84
628,13,2,98
629,38,5,69
630,31,4,93
631,7,0,82
632,9,6,118
633,63,1,99
634,30,0,119
635,6,0,99
636,16,2,62
637,91,6,61
638,27,5,59
639,37,5,84
640,52,6,52
641,50,3,120
642,64,6,82
643,44,6,77
644,54,5,96
645,59,4,61
646,23,5,115
647,38,6,71
648,56,5,79
649,73,5,96
650,39,5,60
651,96,4,115
652,84,5,79
653,17,5,116
654,9,5,63
655,14,3,113
656,88,0,104
657,24,5,106
658,28,6,112
659,45,0,86
660,33,0,83
661,49,5,105
662,6,0,88
663,72,6,89
664,92,4,97
665,90,1,104
666,11,4,94
667,36,6,79
668,9,2,52
669,30,0,112
670,90,0,92
671,12,5,91
672,48,4,83
673,31,5,61
674,78,6,60
675,51,2,110
676,85,4,83
677,73,1,96
678,20,4,98
679,42,5,103
680,63,0,84
681,54,1,106
682,23,2,108
683,93,4,84
684,13,6,105
685,58,1,64
686,66,6,92
687,75,6,108
688,76,4,71
689,50,3,52
690,42,0,119
691,69,0,68
692,80,4,76
693,12,6,57
694,15,5,99
695,75,1,82
696,17,1,74
697,93,3,82
698,69,1,86
699,84,2,67
700,96,5,50
701,46,3,103
702,10,5,100
703,35,6,107
704,57,6,91
705,30,5,51
706,71,4,59
707,4,0,83
708,8,2,110
709,40,6,53
710,70,0,89
711,75,2,88
712,31,5,112
713,20,4,95
714,59,6,71
715,75,5,91
716,69,3,88
717,37,4,77
718,77,0,92
719,91,4,61
720,53,4,65
721,12,4,60
722,46,2,105
723,40,3,106
724,55,3,94
725,73,5,115
726,11,1,52
727,58,0,70
728,69,0,120
729,9,6,117
730,46,6,99
731,58,5,59
732,12,6,54
733,62,5,79
734,86,1,110
735,22,3,71
736,46,1,118
737,14,6,56
738,33,6,54
739,9,4,65
740,62,6,58
741,7,6,85
742,0,6,67
743,24,0,60
744,36,1,95
745,86,3,90
746,9,1,86
747,59,6,109
748,95,3,81
749,42,3,83
750,51,6,57
751,31,6,50
752,78,3,52
753,64,0,68
754,81,5,85
755,12,2,64
756,45,4,79
757,78,0,103
758,41,1,103
759,64,6,94
760,88,1,57
761,54,4,79
762,76,0,54
763,8,6,101
764,96,0,102
765,12,4,70
766,62,0,61
767,66,1,51
768,97,0,104
769,51,5,55
770,16,3,70
771,57,4,82
772,20,3,86
773,92,2,70
774,83,5,56
775,88,2,75
776,25,2,75
777,8,5,79
778,57,5,102
779,26,3,57
780,38,0,70
781,26,3,83
782,47,2,69
783,71,6,51
784,10,0,72
785,0,3,75
786,100,1,104
787,56,2,103
788,49,2,81
789,15,3,116
790,98,1,73
791,86,0,96
792,5,3,117
793,82,3,81
794,54,4,106
795,94,3,71
796,85,2,120
797,0,2,58
798,48,4,59
799,13,1,109
800,29,3,56
801,39,0,86
802,94,1,69
803,52,6,54
804,1,4,53
805,94,4,82
806,100,5,90
807,91,4,80
808,63,0,103
809,95,1,104
810,59,0,106
811,7,1,87
812,61,3,116
813,77,2,103
814,16,4,102
815,51,5,92
816,9,4,68
817,48,5,59
818,72,3,106
819,4,0,54
820,31,1,107
821,47,1,108
822,31,2,118
823,71,2,112
824,76,1,54
825,91,3,88
826,72,2,80
827,57,6,120
828,22,3,103
829,72,2,64
830,19,2,106
831,60,4,98
832,43,1,69
833,97,3,53
834,33,3,81
835,90,2,115
836,57,4,115
837,62,4,107
838,92,3,104
839,96,1,55
840,82,2,118
841,21,3,95
842,90,1,92
843,30,5,64
844,81,2,99
845,18,5,80
846,44,6,63
847,49,6,98
848,20,5,81
849,90,2,92
850,38,2,77
851,79,1,113
852,20,3,55
853,90,4,65
854,77,0,52
855,56,6,53
856,67,5,93
857,28,0,77
858,52,0,63
859,53,0,111
860,24,0,83
861,90,5,52
862,12,5,104
863,59,0,53
864,12,4,68
865,62,4,64
866,3,6,117
867,85,6,87
868,57,5,92
869,88,3,110
870,83,4,80
871,96,4,60
872,59,6,70
873,2,1,117
874,44,6,120
875,0,0,104
876,90,6,104
877,43,0,52
878,87,4,94
879,85,5,56
880,69,4,99
881,76,1,69
882,83,1,102
883,91,6,77
884,90,1,120
885,54,6,58
886,33,3,114
887,87,3,58
888,88,6,66
889,45,5,112
890,87,6,89
891,11,3,61
892,11,4,54
893,52,2,79
894,52,0,93
895,70,2,57
896,95,2,51
897,47,3,120
898,49,0,96
899,94,0,109
900,70,1,60
901,17,0,79
902,15,0,61
903,60,0,75
904,10,0,77
905,89,2,51
906,45,4,53
907,36,3,68
908,36,4,52
909,81,2,69
910,92,4,110
911,10,6,102
912,62,5,73
913,45,5,77
914,1,3,116
915,62,4,113
916,51,0,66
917,35,3,110
918,55,4,89
919,92,5,67
920,12,0,86
921,20,4,89
922,26,4,93
923,27,2,94
924,14,2,77
925,27,0,67
926,67,1,112
927,91,0,51
928,99,6,78
929,92,0,79
930,27,3,71
931,100,2,72
932,79,0,118
933,11,5,104
934,48,6,71
935,73,6,54
936,66,4,67
937,21,6,97
938,100,6,50
939,56,1,117
940,15,3,91
941,79,3,113
942,59,2,112
943,55,0,66
944,35,2,99
945,33,2,95
946,61,0,86
947,43,6,78
948,72,2,96
949,6,2,95
950,78,2,100
951,74,3,50
952,84,3,100
953,29,1,102
954,72,2,117
955,27,4,111
956,19,0,52
957,29,6,84
958,99,0,74
959,20,5,78
960,19,2,56
961,71,0,64
962,79,4,81
963,42,6,58
964,23,4,86
965,94,6,120
966,89,2,98
967,6,2,56
968,18,0,74
969,8,1,84
970,96,6,111
971,12,4,113
972,96,1,99
973,24,4,97
974,56,0,53
975,96,3,103
976,13,1,64
977,79,2,87
978,32,6,69
979,23,3,119
980,98,1,63
981,88,1,104
982,14,6,120
983,10,5,118
984,98,0,79
985,21,4,88
986,71,3,91
987,95,3,64
988,49,6,96
989,19,6,58
990,18,4,76
991,4,0,91
992,78,2,59
993,10,2,89
994,47,2,55
995,22,2,74
996,8,3,81
997,69,4,59
998,62,1,89
999,48,0,93
